Site,Pasture_Category,BMP_Category,Catchment.drainage.area..km2.,Stream.length..km.,ACC_BASIN_SLOPE,Mean_Taxa_Richness,Mean_Biomass,Mean_Density,Composite richness,ws_pasture__prop,BMP Score
BACK,high,medium,37.143,13.49600029,8.81,40,6996.454,53452.8,8,0.640652478,2.032237867
BEAV,low,high,19.791,5.77699995,15.49,53,3704.9212,20557.71429,9,0.192457553,3.236394712
BULL,medium,low,26.6229,8.427000046,3.27,37,1385.1264,98515.2,4,0.291832432,1.056651201
CEDR,high,high,2.7702,1.894999981,12.5,55,6988.61,97479.69475,10,0.484106614,4.194744075
EIDS,high,low,28.8207,10.47599983,9.78,49,10667.0476,94836.71111,4,0.577990101,0.523138088
HARL,medium,low,6.9219,3.407999992,6.63,31,2739.4428,36380.8,10,0.296895658,0.356966856
HOLM,high,low,29.9079,9.668000221,8.97,49,6358.086,171290.5721,9,0.432394429,0.786182711
LONG,high,medium,3.2112,3.437000036,8.6,38,24389.1228,276164.606,4,0.475898667,1.676424065
MEAD,high,medium,12.906,5.215000153,6.55,51,8564.4828,109973.3333,8,0.429775599,2.101492209
MIDD,medium,low,10.4661,5.116000175,7.01,46,2911.0648,30396.8,8,0.215732917,0.841359148
MLBK,medium,low,4.4127,3.25,8.26,45,3583.1972,56240,7,0.254345233,0.377498258
MLPG,high,low,33.4647,10.85400009,5.33,39,18933.1376,135653.1702,7,0.497024985,0.665664823
MLRB,medium,medium,7.4628,5.664000034,13.17,52,3048.908,65520,11,0.298108073,2.013085841
MLRH,medium,low,9.1062,4.165999889,6.87,55,14805.5608,121908.0057,9,0.315174667,0.956478572
MOSS,high,high,16.2126,9.30700016,9.56,42,4853.144,122366.2245,9,0.422895867,5.017200442
MUDD,medium,low,19.2159,5.014999866,10.33,48,3233.8336,42096,9,0.24673215,0.816586507
NPAS,medium,low,13.9149,6.778999805,10.96,55,17342.3288,181022.8764,11,0.224997276,1.169739477
PINE,low,low,1.818,2,12.84,34,630.5224,31986.69538,10,0.077918192,0.190055762
PISG,high,low,15.5304,7.31099987,13.7,52,12400.75,105074.321,9,0.519595783,1.492017006
POAG,high,high,1.5822,3.667999983,10.71,49,8332.9672,104620.429,8,0.4462776,3.516657249
PUGH,medium,medium,35.5464,9.423999786,11.34,45,5235.4552,68075.39164,9,0.314817112,2.09233462
SMTH,medium,low,12.1815,6.673999786,16.45,73,14460.8128,129675.6811,10,0.292670728,0.9746011
SOUT,high,low,4.4892,4.375999928,10.84,54,13309.6796,109644.8,7,0.453108194,1.105104053
SPOU,high,low,3.1275,1.383000016,2.86,34,20387.8444,41189.77778,7,0.529116416,0.199734845
THOR,low,low,0.1278,0.377000004,15.75,48,14757.0504,183192.4618,7,0.140687037,0.203237779
TOMS,medium,low,27.5265,10.48499966,13.45,64,3791.4576,34073.6,11,0.240597134,0.229307381
TUSC,medium,low,10.1241,4.959000111,14.8,44,6171.0356,94638.64704,6,0.241232157,0.247086816
WARB,low,low,0.4428,0.660000026,15.82,35,13504.6236,274650.2264,3,0.120407577,0.668703963
WFLN,medium,low,0.1431,0.223000005,3.86,30,23115.5528,240665.0279,6,0.309933743,0.88868812
WEST,medium,low,0.7587,1.13499999,7.82,52,4955.1644,57008,11,0.29608408,0.373752325
