Internal_Site_ID,Field_Description,Monarch_Presence,Riparian_Score_SD,Riparian_Score_Mean,Riparian_CC,Active_Floodplain_Width,In_Channel_CC,Bankfull_Width_Mean,Bankfull_Width_SD,Bankfull_Width_CoV,Wetted_Width_Mean,Wetted_Width_SD,Wetted_Width_CoV,Wetted_Perimeter,Peb_D50,Peb_Het,Peb_Het2,Peb_Sorting,Peb_Kurt,Peb_Skew,Embed_Median,Embed_Het,Embed_Het2,Embed_Sorting,Embed_Kurt,Embed_Skew,Bed_Veg_Median,Bed_Veg_Het,Bed_Veg_Het2,Bed_Veg_Sorting,Bed_Veg_Kurt,Bed_Veg_Skew,FineSed_Depth_Median,FineSed_Depth_Het,FineSed_Depth_Het2,FineSed_Depth_Sorting,FineSed_Depth_Kurt,FineSed_Depth_Skew,Water_Depth_Median,Water_Depth_Het,Water_Depth_Het2,Water_Depth_Sorting,Water_Depth_Kurt,Water_Depth_Skew,Flow_Type_Median,Flow_Type_Het,Flow_Type_Het2,Flow_Type_Sorting,Flow_Type_Kurt,Flow_Type_Skew,Fish_Cover_Median,Fish_Cover_Sorting,Fish_Cover_Kurt,Streambank_Veg_Type_Median,Streambank_Veg_Type_SD,Total_Streambank_Height_Mean,Streambank_Slope_Mean,Bankfull_Height_Mean,TBH_Bankfull_Height_Ratio,Streambank_Erosion_Index,Streambank_Eroding,Streambank_Lateral_Root_Exposure_Distance_Mean,Streambank_Root_Exposure_Age_Mean,Streambank_Lateral_Erosion_Rate_Sample_Size,Streambank_Lateral_Erosion_Rate_Mean,Streambank_Lateral_Erosion_Rate_SD,Adjusted_Streambank_Lateral_Erosion_Rate_Mean,Adjusted_Streambank_Area_Erosion_Rate,Long_Dep_Var,Long_Roughness,Long_Sinuosity,Stream_Slope,CSX_Topo_Roughness,CSX_Dep_CoV,CSX_Bankfull_Area,CSX_Total_Area,CSX_Area_Ratio,Instream_Wood_Volume,Instream_Wood_Porosity
BACK,"Mowed field, forested open canopy over stream, amazing sediment deposits",No,1.483,3.75,27.1,3.66,19.04,4.68,0.94,0.2,4.03,0.8,0.2,4.39,208,22.7,0,255,0.5,0.9,12.5,7,0,43.8,0.6,0.7,12.5,5,0,31.2,0.9,0.6,0,0,0,1.2,1.4,1,9,2,0,8.4,0.8,0.1,0.2,1.9,0.1,0.1,0.7,0.1,0,6.2,Inf,2,0.47,0.83,45.16,0.285,2.954,6,0,43.1,4.8,4,21.3,19.9,0,0,0.943,0.231,1.074,1.29,1.011,42.689,1.387,6.452,0.215,0,0
BEAV,"Sparse sediment sample, cobbly bed, corn crop on both sides, small canopy buffer. Owner said reach was dry, but was flowing when we arrived.",No,1.592,3,62.21,2.02,89.39,9.54,1.51,0.16,5.88,0.68,0.12,6.559,44.3,2.8,0.1,31,1.1,0.4,12.5,5,0,31.2,0.9,0.6,0,0,0,0,Inf,0,0.5,3,0,0.8,1.1,0.4,11,2.7,0,14.4,0.8,0.4,0.1,2.6,0.2,0.1,1,0.4,0,6.2,Inf,3,0.81,1.29,54.75,0.324,4.355,12,12.75,51.2,7.2,10,10.7,9,1.37,176.6,0.494,0.277,1.194,0.33,1.022,39.253,4.625,12.696,0.364,0,0
BULL,"Silty shallow channel cattails in riparian zone, mowed area for walking, meadow.",Yes,1.389,3.938,20.83,6.6,40.25,5.3,0.87,0.16,3.94,0.67,0.17,6.492,2.8,1.2,1,0.2,Inf,1,87.5,1,0.7,0,Inf,0,62.5,1.4,0.1,37.5,0.5,0.3,4.5,2.7,0.1,5.6,0.8,0.4,10,2.1,0.1,9.5,0.8,0.2,0.1,2,0.1,0.1,0.5,0.1,0,30.7,3.7,2,0.46,0.812,36.95,0.298,2.801,6,1,19,6.3,3,3.2,3.3,0.03,2.6,0.023,0.262,1.04,0.19,1.022,45.345,2.192,4.45,0.493,0,0
CEDR,"Benthics! Forested, tiny waterfalls, hay bails near reach, bridge cuts through reach, mowed lawn.",Yes,1.211,3.5,58.72,1.33,79.82,8.05,1.63,0.2,6.6,1.49,0.23,6.476,139.5,46.5,0.1,255,2.1,1,12.5,7,0,43.8,0.7,0.7,0,0,0,6.2,Inf,1,0.5,5,0,1.2,1,0.7,12,3.4,0,19.5,0.9,0.5,0.1,3.8,0.2,0.2,1,0.5,0,18.8,2.6,2,0.91,0.69,45.91,0.178,3.756,12,5,20.9,3.8,10,9.5,11.4,0.47,32.6,0.549,1.026,1.373,1.41,1.064,59.78,2.776,10.338,0.268,0.21,0.4
EIDS,"Meandering stream, horse pasture, could not get into horse pasture for T6 15 riparian denzio, so took at 10.",Yes,1.628,2.875,25.2,2.3,52.68,3.31,0.65,0.2,2.99,0.72,0.24,3.525,22.8,7.3,0.2,19.4,1.6,0.8,12.5,7,0,43.8,0.5,0.7,0,0,0,6.2,Inf,1,1,5,0,2.5,1.1,0.6,14,2.3,0.2,13.5,1,0.4,0.1,3.8,0.1,0.2,1,0.7,0,18.8,Inf,1,0.72,0.77,71.05,0.18,4.348,14,15,42.6,5.3,4,9.8,5.6,1.48,113.6,0.322,0.395,1.305,0.4,1.03,24.183,0.942,4.229,0.223,0,0
HARL,Crop and hay crop with small riparian buffer.,Yes,1.528,3.25,36.62,3.903,11.03,4.95,0.69,0.14,3.85,0.79,0.21,3.361,9.3,4,1,3,1.3,1,87.5,1,0.7,12.5,0.5,1,12.5,5,0,31.2,0.7,0.7,2.5,4.3,0.1,5.1,1.1,0.7,21,1.4,0.1,14.1,0.6,0.3,0.1,2,0.2,0.1,1.2,0.1,12.5,18.8,2.6,2,0.21,0.291,41.11,0.291,1,-3,1,30,1.3,3,26.3,18.5,0.26,7.7,0.339,0.354,1.02,0,1.013,50.683,1.69,1.69,1,0,0
HOLM,"Paved road, small pond/water logged soil in riparian zone, exposed bedrock.",Yes,0.929,3.938,88.79,4.375,83.57,5.45,1.84,0.34,4.55,1.72,0.38,6.901,132.8,46.5,0.1,255,1.5,1,12.5,7,0,43.8,0.7,0.7,0,0,0,6.2,Inf,1,0,0,0,1,0.9,1,12,2.5,0.1,14.1,0.9,0.3,0.1,3.8,0.2,0.2,1,0.5,0,6.2,1.2,2,1,0.498,46.66,0.23,2.137,10.5,11,18.8,3.9,10,5.4,2.1,0.6,29.7,0.831,0.752,1.061,1.7,1.339,54.355,1.174,5.146,0.228,0,0
LONG,"Cattle access into stream and most of riparian zone, started survey/sampling in fish reach B before realizing reach A was farther up. 4 sed saples fro reach B 1 sed sample from reach A with ok from Cashman.",Yes,1.504,2.562,35.58,1.199,52.63,5.38,1.83,0.34,4.75,1.82,0.38,4.307,70.3,22.5,0.2,44,9.6,1,62.5,1.4,0,37.5,0.6,0.4,37.5,2.3,0,37.5,0.6,0.2,1,4.5,0,2.2,0.9,0.6,14,2.7,0.1,17.2,0.8,0.4,0.1,2,0.2,0.1,2.3,0.3,0,6.2,2.2,2,0.96,1.119,75.84,0.208,5.529,20,11,25.5,7.4,6,4,3,0.44,49.5,0.686,0.606,1.079,1.65,1.024,36.058,1.473,7.377,0.2,0,0
MEAD,"Forested, pasture, mowed path, bad smelling sediment outside of reach by culvert, shaded channel.",No,1.633,3.5,66.34,0.69,94.07,5.64,1.15,0.2,4.9,1.28,0.26,4.224,41.4,2.4,0.2,7,2.3,0.6,50,1.8,0,37.5,0.6,0.1,0,0,0,0,NaN,0,1,4.5,0,2.2,1.5,0.6,10,2.6,0,12.3,0.9,0.4,0.1,2,0.1,0.1,1,0.3,0,0,Inf,2,1.26,1.124,72.43,0.171,6.918,20,34.75,39.6,5.2,10,7.1,4.3,2.47,277.7,0.081,0.33,1.17,0.33,1.045,31.139,2.226,7.357,0.303,0.04,0.25
MIDD,Forested pasture floodplain.,No,1.258,3.625,59.4,3.42,54.71,5.53,1.3,0.24,4.57,1.27,0.28,5.97,70.5,5.7,0.1,63,1.1,0.7,62.5,1.4,0.2,37.5,0.5,0.3,12.5,1,0,6.2,0.5,1,0.5,5,0,1.2,0.9,0.7,9,2.3,0,10.1,0.8,0.2,0.1,2,0.1,0.1,0.5,0.1,0,0,Inf,2,1.26,0.569,62.2,0.332,1.72,11,26,24.3,6,9,8.2,13,2.14,121.9,0.73,0.291,1.168,0.77,1.037,36.801,1.595,4.12,0.387,0,0
